"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"4842867",338926417,"2019-01-01T15:55:48",18.45974,-66.11524,0,82,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4843038",338071607,"2019-01-01T15:55:31",18.46071,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4843337",367128950,"2019-01-01T15:55:54",18.44771,-66.09083,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4843360",338531000,"2019-01-01T15:55:24",17.95336,-65.83697,4.6,51.6,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4843492",366722810,"2019-01-01T15:55:52",18.45992,-66.08806,0,-187.5,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"4843924",368025180,"2019-01-01T15:56:01",18.45999,-66.08807,0,-147.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"4844187",367775170,"2019-01-01T15:56:00",18.28787,-65.63559,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"4844248",366995010,"2019-01-01T15:56:05",18.44773,-66.09108,0,-153.5,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4844473",367433610,"2019-01-01T15:56:04",18.296,-65.50088,13,76.5,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4844577",367618240,"2019-01-01T15:56:06",18.16294,-65.46859,18,109.9,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4845265",339758000,"2019-01-01T15:56:14",18.45892,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4845866",367774870,"2019-01-01T15:56:38",18.30182,-65.28817,6.3,120.7,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4845947",366915910,"2019-01-01T15:56:24",18.32657,-65.60281,29,154.2,153,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4846003",230185000,"2019-01-01T15:52:04",18.50169,-66.06608,8.8,71.5,71,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4846191",366029970,"2019-01-01T15:56:11",18.46112,-66.09345,0,-172,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4846442",368237000,"2019-01-01T15:56:13",18.22912,-65.61931,2.6,7.3,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4846605",338531000,"2019-01-01T15:56:34",17.95433,-65.83583,4.6,50.7,45,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4846705",367515760,"2019-01-01T15:56:34",18.44812,-66.08939,0,-169.9,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4846865",338238828,"2019-01-01T15:56:34",17.95501,-66.29217,0.2,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"4847040",367733250,"2019-01-01T15:56:38",18.46002,-66.08818,0,-172.4,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"4847557",230185000,"2019-01-01T15:56:35",18.50481,-66.05521,8.7,73.2,78,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4847812",367367040,"2019-01-01T15:56:48",18.28849,-65.27047,5.9,115.2,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4847935",338071607,"2019-01-01T15:56:40",18.46069,-66.09092,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4847949",368062970,"2019-01-01T15:56:33",18.319,-65.22881,3.1,204.1,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"4848340",338109829,"2019-01-01T15:56:38",18.33941,-65.63135,0,76.3,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"4848832",367015490,"2019-01-01T15:56:43",18.05358,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"4849269",367128950,"2019-01-01T15:57:02",18.44771,-66.09083,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4849492",367128950,"2019-01-01T15:52:23",18.44772,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4849871",366995010,"2019-01-01T15:57:13",18.44773,-66.09109,0.1,-156.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4850264",367649980,"2019-01-01T15:56:59",18.09204,-65.57694,5.3,148,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4850570",368237000,"2019-01-01T15:57:22",18.22936,-65.6194,0.8,165,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4851034",203141400,"2019-01-01T15:57:27",18.15669,-65.26492,6.9,171.6,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4851085",338228168,"2019-01-01T15:57:10",18.22998,-65.19399,5.6,119.9,511,"NARCOSIS","IMO0000000","",36,NA,12,5,NA,NA,"B"
"4851152",368001090,"2019-01-01T15:57:09",18.28561,-65.63334,0,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"4851375",367578350,"2019-01-01T15:57:12",18.3079,-65.10371,6.8,-124.5,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4851519",367529160,"2019-01-01T15:57:14",18.44832,-66.08922,0,-180.4,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"4851635",367618240,"2019-01-01T15:57:19",18.16073,-65.46276,18.2,114,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4851733",368062690,"2019-01-01T15:57:20",18.28771,-65.63599,0,-49.6,511,"GURU","IMO0000000","WDK5208",37,NA,18,10,NA,NA,"B"
"4851841",366029970,"2019-01-01T15:57:22",18.46112,-66.09343,0,-196,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4851844",367552060,"2019-01-01T15:57:32",18.38664,-65.59205,0,195.2,511,"CARIBE SPIRIT","","WDG5958",60,NA,24,NA,NA,NA,"B"
"4851905",338536000,"2019-01-01T15:57:33",18.3353,-65.63106,0.1,-151.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4851924",636018640,"2019-01-01T15:57:38",18.42964,-66.10729,0.1,166.9,194,"","","",NA,5,NA,NA,NA,NA,"A"
"4852342",368020590,"2019-01-01T15:57:26",18.30519,-65.29886,0.1,-64.3,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"4852345",366915910,"2019-01-01T15:57:27",18.31883,-65.59918,29.4,155.9,154,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4852619",367433610,"2019-01-01T15:57:34",18.2967,-65.49503,13.7,77.8,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4852692",338536000,"2019-01-01T15:52:54",18.33531,-65.63105,0,-162.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4852909",338071607,"2019-01-01T15:53:10",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4853060",367730640,"2019-01-01T15:53:24",18.2871,-65.63303,0,-76.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"4853369",366029970,"2019-01-01T15:53:52",18.46111,-66.09346,0,-200.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4853377",368237000,"2019-01-01T15:53:52",18.226,-65.62075,8.3,7.3,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"A"
"4854139",367649980,"2019-01-01T15:55:01",18.09458,-65.57854,5.6,150.1,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4854149",368237000,"2019-01-01T15:55:02",18.22806,-65.62005,5.2,35.3,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4854152",368062970,"2019-01-01T15:55:03",18.32004,-65.22805,2.9,-171.6,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"4854492",367515760,"2019-01-01T15:55:33",18.44813,-66.08939,0,-169.4,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4854500",230185000,"2019-01-01T15:55:34",18.5041,-66.05771,8.6,73.2,72,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4854522",367070680,"2019-01-01T15:55:36",18.46116,-66.11241,7,-55.5,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4854569",338228168,"2019-01-01T15:55:39",18.23137,-65.19582,4.9,130.8,511,"NARCOSIS","IMO0000000","",36,NA,12,5,NA,NA,"B"
"4854644",368020040,"2019-01-01T15:55:46",18.50707,-66.01513,5.2,143.7,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4854713",367723910,"2019-01-01T15:55:53",18.28899,-65.63448,0.1,172.3,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"4855038",367730640,"2019-01-01T15:56:23",18.2871,-65.63303,0,-76.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"4855042",338536000,"2019-01-01T15:56:24",18.33531,-65.63109,0,-148.1,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4855290",367070680,"2019-01-01T15:56:46",18.463,-66.11291,3.2,-68,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4855327",338926417,"2019-01-01T15:56:49",18.45973,-66.11524,0,-123.6,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"A"
"4855628",368020040,"2019-01-01T15:57:17",18.50536,-66.01314,5.9,133.1,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4855824",367396910,"2019-01-01T15:57:34",17.93682,-66.15603,0,-188.6,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"4857572",671932000,"2019-01-01T15:57:44",18.46302,-66.10325,0,-154.3,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"4857575",338531000,"2019-01-01T15:57:46",17.95532,-65.83459,4.8,52.9,45,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4858226",338071607,"2019-01-01T15:57:51",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4858572",338926417,"2019-01-01T15:57:58",18.45973,-66.11524,0,18.3,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4858908",367592540,"2019-01-01T15:58:02",18.30794,-65.29024,0.1,-60.8,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"4859252",366995010,"2019-01-01T15:58:23",18.44774,-66.09109,0,-156.3,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4859318",367774870,"2019-01-01T15:58:08",18.30048,-65.28623,4.3,127.8,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4859384",338162314,"2019-01-01T15:58:09",18.3417,-65.6387,0,-66.2,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"4859656",235084084,"2019-01-01T15:58:12",18.4591,-66.08995,0.1,183.3,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"4859775",367649980,"2019-01-01T15:58:29",18.09015,-65.57571,5.2,146.5,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4860024",338173000,"2019-01-01T15:57:51",18.2297,-65.62008,0,104.5,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"4860225",367515760,"2019-01-01T15:57:53",18.4481,-66.0894,0,-176.4,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4860316",338098422,"2019-01-01T15:58:17",18.28618,-65.63272,0,64.8,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"4860552",367070680,"2019-01-01T15:57:57",18.46316,-66.11296,0,-49.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4860704",367618240,"2019-01-01T15:58:24",18.15856,-65.45758,18,108.7,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4860928",319089300,"2019-01-01T15:58:28",18.45982,-66.09012,0,-133,277,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"4861144",203141400,"2019-01-01T15:58:28",18.15476,-65.26459,7.5,169.3,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4861259",366915910,"2019-01-01T15:58:29",18.31105,-65.59582,29.3,157.6,154,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4861352",368062970,"2019-01-01T15:58:33",18.31904,-65.22903,2.4,68.2,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"4861432",366029970,"2019-01-01T15:58:31",18.46112,-66.09346,0,-180.5,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4861559",368237000,"2019-01-01T15:58:32",18.22924,-65.6193,0.3,96,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4861678",338142008,"2019-01-01T15:58:33",18.30406,-65.29651,0.2,-99.5,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"4862240",338228168,"2019-01-01T15:58:40",18.22869,-65.19216,5.7,124.9,511,"NARCOSIS","IMO0000000","",36,NA,12,5,NA,NA,"B"
"4862726",367396880,"2019-01-01T15:59:00",17.93668,-66.15605,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"4862791",230185000,"2019-01-01T15:57:45",18.50526,-66.05225,8.8,84,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4862953",366722810,"2019-01-01T15:58:49",18.45998,-66.0881,0.1,-195.4,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"4863008",367723910,"2019-01-01T15:58:53",18.28901,-65.63447,0.1,172.3,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"4863071",230185000,"2019-01-01T15:58:54",18.5056,-66.04929,8.7,83.1,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4863253",367574560,"2019-01-01T15:58:28",18.2867,-65.63243,0,-160.9,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"4863415",338531000,"2019-01-01T15:58:55",17.95627,-65.83343,4.5,52,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4863788",367128950,"2019-01-01T15:58:12",18.44771,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4863857",367433610,"2019-01-01T15:59:03",18.29745,-65.48937,13.5,80.7,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4863876",367775170,"2019-01-01T15:59:02",18.28787,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"4863924",338071607,"2019-01-01T15:59:02",18.46071,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4864119",367070680,"2019-01-01T15:59:07",18.46316,-66.11295,0,-49.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4864928",368014910,"2019-01-01T15:58:25",17.93701,-66.15596,0,-168.1,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4864934",367730640,"2019-01-01T15:59:23",18.28709,-65.63304,0.1,-76.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"4865087",338138014,"2019-01-01T15:58:50",18.45954,-66.0882,0,80.5,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"4865163",339758000,"2019-01-01T15:59:16",18.45892,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4865198",367367040,"2019-01-01T15:59:16",18.2868,-65.26636,5.6,113.1,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4865309",367128950,"2019-01-01T15:59:22",18.4477,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4865536",203141400,"2019-01-01T15:59:29",18.15275,-65.26428,6.3,173,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4866061",368585000,"2019-01-01T15:58:30",18.32217,-65.3297,0.1,159.1,511,"SERENITY","","WDJ7586",37,NA,15,NA,NA,NA,"B"
"4866173",366915910,"2019-01-01T15:59:32",18.30315,-65.59201,29.3,157.5,158,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4866197",367515760,"2019-01-01T15:59:04",18.44811,-66.08939,0,-180.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4866463",367719070,"2019-01-01T15:59:08",18.28749,-65.63335,0,22,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"4866632",366995010,"2019-01-01T15:59:35",18.44774,-66.09109,0,-157.3,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4866764",367015490,"2019-01-01T15:59:41",18.05359,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"4866807",366029970,"2019-01-01T15:59:43",18.46113,-66.09345,0,200.4,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4866943",338238828,"2019-01-01T15:59:37",17.95501,-66.29217,0.2,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"4867161",367578350,"2019-01-01T15:58:41",18.30852,-65.10699,6.6,-135,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4867633",338536000,"2019-01-01T15:58:43",18.3353,-65.63107,0,-157.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4867706",367555530,"2019-01-01T15:59:48",18.05348,-65.8368,0.1,11,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"4868239",367649980,"2019-01-01T15:59:59",18.08828,-65.57434,5.3,127.2,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4868318",368020040,"2019-01-01T15:58:49",18.50342,-66.01092,6.5,120.3,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4868319",338536000,"2019-01-01T15:59:54",18.33527,-65.63109,0.1,-163.4,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4868569",367774870,"2019-01-01T15:59:36",18.29966,-65.28476,3.2,99.4,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4869097",368062970,"2019-01-01T16:00:01",18.31909,-65.22835,1.1,73.2,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"4869188",367618240,"2019-01-01T15:59:31",18.15641,-65.45261,14.5,118.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4869378",366915910,"2019-01-01T16:00:01",18.2996,-65.59056,29.3,157.6,156,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4869481",338071607,"2019-01-01T16:00:02",18.4607,-66.0909,0.3,47.7,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4869487",368237000,"2019-01-01T15:59:42",18.22926,-65.61927,0.1,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4869608",366029970,"2019-01-01T16:00:01",18.46113,-66.09347,0,200.5,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4869776",338926417,"2019-01-01T16:00:07",18.45972,-66.11525,0,203.2,257,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4869954",368025180,"2019-01-01T15:59:01",18.45994,-66.08808,0,-147.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"4870200",367515760,"2019-01-01T16:00:04",18.44811,-66.0894,0,-184.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4870319",366995010,"2019-01-01T16:00:04",18.44774,-66.09109,0.1,-151.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4870700",338926417,"2019-01-01T15:59:07",18.45973,-66.11524,0,-136.2,257,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4871070",367128950,"2019-01-01T16:00:02",18.44771,-66.09083,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4871625",367774870,"2019-01-01T16:00:07",18.29937,-65.28421,4.9,131.6,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4871731",367070680,"2019-01-01T16:00:07",18.46316,-66.11295,0,-49.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4871844",230185000,"2019-01-01T16:00:04",18.50595,-66.0463,8.9,83,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4872192",368001090,"2019-01-01T16:00:10",18.28563,-65.63333,0.1,-90.4,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"4872301",338531000,"2019-01-01T16:00:04",17.95725,-65.83227,4.5,47.4,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4872796",368237000,"2019-01-01T16:00:12",18.22924,-65.61929,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4873086",367618240,"2019-01-01T16:00:00",18.15567,-65.45083,13.8,112.8,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4873104",368020040,"2019-01-01T16:00:16",18.50177,-66.00902,5.2,136.6,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4873128",338536000,"2019-01-01T16:00:13",18.33527,-65.6311,0,-165.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4873307",368025180,"2019-01-01T16:01:00",18.4599,-66.08809,0,189.8,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"4873497",636018640,"2019-01-01T16:00:38",18.42965,-66.10729,0,177.5,194,"","","",NA,5,NA,NA,NA,NA,"A"
"4873880",203141400,"2019-01-01T16:00:27",18.15092,-65.26395,7.2,169.1,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4874009",671932000,"2019-01-01T16:00:44",18.46302,-66.10325,0.1,-155.9,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"4874031",367649980,"2019-01-01T16:00:29",18.08782,-65.57373,5.6,133.7,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4874142",367552060,"2019-01-01T16:00:32",18.38664,-65.59208,0.2,-178.8,511,"CARIBE SPIRIT","","WDG5958",60,NA,24,NA,NA,NA,"B"
"4874143",338173000,"2019-01-01T16:00:50",18.22972,-65.62008,0,142.1,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"4874220",367529160,"2019-01-01T16:00:14",18.44834,-66.08925,0,-182.8,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"4874249",367578350,"2019-01-01T16:00:13",18.30909,-65.11031,7.8,-124.6,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4874645",367433610,"2019-01-01T16:00:04",18.2976,-65.48544,14,84.9,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4874840",338228168,"2019-01-01T16:01:11",18.22643,-65.18892,4.8,126.2,511,"NARCOSIS","IMO0000000","",36,NA,12,5,NA,NA,"B"
"4874845",367733250,"2019-01-01T15:59:39",18.46001,-66.08813,0,-172.4,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"4875156",338162314,"2019-01-01T16:01:09",18.3417,-65.63871,0.1,-66.2,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"4875580",367128950,"2019-01-01T16:01:12",18.4477,-66.09083,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4875634",366995010,"2019-01-01T16:01:13",18.44774,-66.09108,0.1,-152.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4875699",368237000,"2019-01-01T16:01:13",18.22923,-65.61929,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4875738",338071607,"2019-01-01T16:01:11",18.4607,-66.09089,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4875770",338531000,"2019-01-01T16:01:14",17.95818,-65.83112,4.3,50.6,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4875881",366915910,"2019-01-01T16:01:02",18.29178,-65.58738,29.1,159.9,158,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4876225",235084084,"2019-01-01T16:01:14",18.4591,-66.08996,0,183.3,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"4876240",367618240,"2019-01-01T16:01:06",18.15435,-65.44728,10.4,115.6,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4876764",338098422,"2019-01-01T16:01:16",18.28617,-65.63271,0,66.5,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"4876823",230185000,"2019-01-01T16:01:14",18.50625,-66.04329,8.8,82.8,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4877028",367367040,"2019-01-01T16:01:17",18.28539,-65.26324,5.6,103.2,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4877887",367515760,"2019-01-01T16:01:14",18.44812,-66.08938,0,-164.9,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4877966",338926417,"2019-01-01T16:01:17",18.45972,-66.11523,0,139.6,256,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4878150",367396910,"2019-01-01T16:00:35",17.93681,-66.15603,0,196.5,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
